Ethnicity,hoursAerobic,
south asian,5.0,
white,5.0,
white,1.0,
south asian,1.0,
south asian,0.0,
white,1.0,
south asian,3.0,
south asian,4.0,
south asian,2.0,
south asian,3.5,
white,3.0,
white,2.0,
south asian,0.0,
white,2.0,
south asian,0.0,
south asian,2.0,
south asian,8.0,
south asian,0.0,
white,2.0,
south asian,0.0,
south asian,2.0,
south asian,10.0,
white,1.0,
south asian,4.0,
south asian,6.5,
south asian,0.0,
south asian,2.0,
south asian,4.0,
south asian,1.0,
white,1.0,
white,2.0,
white,5.0,
white,0.0,
south asian,0.0,
south asian,0.0,
white,6.0,
south asian,0.0,
white,3.0,
white,0.0,
white,5.0,
south asian,0.0,
south asian,1.0,
white,1.5,